-46.4440312485387,-23.5546412632109,"R. Jardim Tamoio, 53",R Carambola/ R Sabbado D Angelo,Ref.: R Carambola/ R Sabbado D Angelo
-46.6400653641613,-23.5747527987707,"R. Vergueiro, 1485",R Tupinambas/ R Correia Dias,Ref.: R Tupinambas/ R Correia Dias
-46.6750768513763,-23.6843397880015,"R. José Fugulim, 46",R Sao Canuto/ R Olga Mil Homens Costa,Ref.: R Sao Canuto/ R Olga Mil Homens Costa
-46.7064835312893,-23.7406838218328,"R. Rubem Souto De Araújo, 1077",R Viriato Leao De Moura/ Av Carlos Oberhuber,Ref.: R Viriato Leao De Moura/ Av Carlos Oberhuber
-46.5292060039923,-23.5213055393145,"Av. Amador Bueno Da Veiga, 1652",R Gilberto Natalio Regatieri/ R Pico Do Papagaio,Ref.: R Gilberto Natalio Regatieri/ R Pico Do Papagaio
-46.6316863169974,-23.5992697500508,"R. Loefgreen, 672",R Jaime Viana/ R Jose Alves Passos,Ref.: R Jaime Viana/ R Jose Alves Passos
-46.6148047061988,-23.5036867999566,"Av. Zaki Narchi, 1503",Av General Ataliba Leonel/ R Dom Jose Mauricio,Ref.: Av General Ataliba Leonel/ R Dom Jose Mauricio
-46.4870921536364,-23.5291384118585,"R. Juazeiro Do Norte, 298",R. Rio Tapacura,Ref.: R. Rio Tapacura
-46.6631489103073,-23.6815437567758,R. Peixoto Melo Filho,R Cesar Costa/ R Padre Jose Giannella,Ref.: R Cesar Costa/ R Padre Jose Giannella
-46.676722561628,-23.46981401005,"R. Henry Charles Potel, 851",Av. Dep. Cantidio Sampaio,Ref.: Av. Dep. Cantidio Sampaio
-46.4020664882769,-23.5354111643814,"Estr. Do Lageado Velho, 670",R Serra Das Araras/ R Joao Marchi,Ref.: R Serra Das Araras/ R Joao Marchi
-46.6624510241613,-23.6485097878696,"R. Dr. Djalma Pinheiro Franco, 89",R Joaquim Morais/ Av Santa Catarina,Ref.: R Joaquim Morais/ Av Santa Catarina
-46.6265546992659,-23.4910888462108,"R. Pedro Doll, 96",R Canto Do Junco/ R Jose Doll De Moraes,Ref.: R Canto Do Junco/ R Jose Doll De Moraes
-46.7678878032119,-23.5839841525002,"Rod. Raposo Tavares, 5909",R Jose Silvano Filho/ R Noronha Santos,Ref.: R Jose Silvano Filho/ R Noronha Santos
-46.5673359590663,-23.4870596828284,"R. Carlos Calvo, 160",R.da Cavalgada,Ref.: R.da Cavalgada
-46.7396921764955,-23.5071111500982,R. Inácio Luís Da Costa,R Brg. Henrique Fontenelle/ Av Gen. Charles De Gaulle,Ref.: R Brg. Henrique Fontenelle/ Av Gen. Charles De Gaulle
-46.6496193885036,-23.5555808454168,14 Bis B/C,"Viad. Dr. Plínio De Queiroz, 901 Ref.: Vai Vai","Viad. Dr. Plínio De Queiroz, 901 Ref.: Vai Vai"
-46.6645624862707,-23.5076439367795,"R. Reims, 375",R Mourao Vieira/ R Dr. Ribas Botelho,Ref.: R Mourao Vieira/ R Dr. Ribas Botelho
-46.5290608877413,-23.556349502608,"R. Francisca De Paula, 275",Prox. Av. 19 De Janeiro,Ref.: Prox. Av. 19 De Janeiro
-46.7185283582198,-23.4788491190173,"Av. Com. Feiz Zarzur, 310",Av. Miguel De Castro,Ref.: Av. Miguel De Castro
-46.6847213748699,-23.5159699853586,Nacional - C/B,"Av. Mq. De São Vicente, 2728 Ref.: R Francisco Luis De Souza Junior/ Av Nicolas Boer","Av. Mq. De São Vicente, 2728 Ref.: R Francisco Luis De Souza Junior/ Av Nicolas Boer"
-46.6585000004471,-23.6604627646222,"R. Cde. Moreira Lima, 295",Tr Lacerda Coutinho/ R Virgilio De Lemos,Ref.: Tr Lacerda Coutinho/ R Virgilio De Lemos
-46.662780292231,-23.8649165750835,Estr. Da Barragem,Est Do Massao/ R Dos Trovadores,Ref.: Est Do Massao/ R Dos Trovadores
-46.7338646287916,-23.6780199619374,"Av. Guarapiranga, 1103",R Jaguaribara/ R Irutim,Ref.: R Jaguaribara/ R Irutim
-46.7011418262204,-23.6596368869469,"Av. Washington Luiz, 340",R Sao Leonidas/ R Piranchin,Ref.: R Sao Leonidas/ R Piranchin
-46.53331372034,-23.6011334685804,"Av. Do Oratório, 4269",Rua Santana De Mangueira,Ref.: Rua Santana De Mangueira
-46.4960372032379,-23.5030284644329,"R. Mons. Meireles, 450",,
-46.527970060966,-23.5057435519927,"Av. Cangaiba, 2836",R Almirante Bulcao Viana/ R Maestro Vasconcelos Chaves,Ref.: R Almirante Bulcao Viana/ R Maestro Vasconcelos Chaves
-46.7902701558221,-23.4503823509452,"R. Francisco Bellazi, 290",R Denis Brean/ R Osorio Alves De Castro,Ref.: R Denis Brean/ R Osorio Alves De Castro
